,Variable,Return on Investment,Account Type
0,Sales_Contact_1,$11.70 ,Large Facility 
1,Sales_Contact_4,$10.60 ,Large Facility 
2,Sales_Contact_2,$4.00 ,Large Facility 
3,Campaign_Flyer,$2.70 ,Large Facility 
4,Sales_Contact_3,$2.00 ,Large Facility 
5,Campaign_Phone,($3.50),Large Facility 
6,Sales_Contact_2,$6.60 ,Private Facility
7,Sales_Contact_2,$0.80 ,Small Facility 
8,Campaign_Phone,$0.00 ,Small Facility 
9,Campaign_Flyer,$4.10 ,Medium Facility
10,Sales_Contact_2,$3.60 ,Medium Facility
11,Sales_Contact_1,$3.10 ,Medium Facility
12,Sales_Contact_3,$2.10 ,Medium Facility
